line_number,code,vulnerability,file_name
189,"sprintf(pty, ""/dev/pty%c%c"", i, j);
",1,aasysvinitxen_src2Fbootlogd.c
190,"sprintf(tty, ""/dev/tty%c%c"", i, j);
",1,aasysvinitxen_src2Fbootlogd.c
203,"if (name) strcpy(name, tty);
",1,aasysvinitxen_src2Fbootlogd.c
371,"strcpy(tmp, ""^["");
",1,aasysvinitxen_src2Fbootlogd.c
394,"sprintf(tmp, ""\\%03o"", *ptr);
",1,aasysvinitxen_src2Fbootlogd.c
535,"strcpy(realcons, ""/dev/tty1"");
",1,aasysvinitxen_src2Fbootlogd.c
537,"strcpy(realcons, ""/dev/vc/1"");
",1,aasysvinitxen_src2Fbootlogd.c
99,"/*
",0,aasysvinitxen_src2Fbootlogd.c
660,"*/
",0,aasysvinitxen_src2Fbootlogd.c
367,"didnl = 0;
",0,aasysvinitxen_src2Fbootlogd.c
177,"char	tty[16];
",0,aasysvinitxen_src2Fbootlogd.c
245,"#endif
",0,aasysvinitxen_src2Fbootlogd.c
436,"int	fd, n;
",0,aasysvinitxen_src2Fbootlogd.c
619,"/*
",0,aasysvinitxen_src2Fbootlogd.c
99,"sprintf(uidbuf, uid ? ""uid %d"" : ""root"", (int)uid);
",1,aasysvinitxen_src2Fdowall.c
44,"#ifndef HOST_NAME_MAX
",0,aasysvinitxen_src2Fdowall.c
999,"strcpy(buf, ""exec "");
",1,aasysvinitxen_src2Finit.c
1168,"strcpy(buf, ""exec "");
",1,aasysvinitxen_src2Finit.c
1306,"if (!id || !*id) strcpy(err, ""missing id field"");
",1,aasysvinitxen_src2Finit.c
1307,"if (!rlevel)     strcpy(err, ""missing runlevel field"");
",1,aasysvinitxen_src2Finit.c
1308,"if (!process)    strcpy(err, ""missing process field"");
",1,aasysvinitxen_src2Finit.c
1310,"strcpy(err, ""missing action field"");
",1,aasysvinitxen_src2Finit.c
1312,"sprintf(err, ""id field too long (max %d characters)"",
",1,aasysvinitxen_src2Finit.c
1315,"strcpy(err, ""rlevel field too long (max 11 characters)"");
",1,aasysvinitxen_src2Finit.c
1317,"strcpy(err, ""process field too long"");
",1,aasysvinitxen_src2Finit.c
1319,"strcpy(err, ""action field too long"");
",1,aasysvinitxen_src2Finit.c
1371,"strcpy(ch->rlevel, ""0123456789"");
",1,aasysvinitxen_src2Finit.c
1373,"strcpy(ch->rlevel, ""S0123456789"");
",1,aasysvinitxen_src2Finit.c
1379,"if (ch->action == SYSINIT) strcpy(ch->rlevel, ""#"");
",1,aasysvinitxen_src2Finit.c
1381,"strcpy(ch->rlevel, ""*"");
",1,aasysvinitxen_src2Finit.c
2332,"wrote_utmp_reboot = 0;
",0,aasysvinitxen_src2Finit.c
2642,"INITDBG(L_VB, ""init_main: waiting.."");
",0,aasysvinitxen_src2Finit.c
622,"pid);
",0,aasysvinitxen_src2Finit.c
1773,"ok = 1;
",0,aasysvinitxen_src2Finit.c
2438,"if (ch->action == CTRLALTDEL)
",0,aasysvinitxen_src2Finit.c
2005,"DELSET(got_signals, SIGHUP);
",0,aasysvinitxen_src2Finit.c
2874,"putenv(""SELINUX_INIT=YES"");
",0,aasysvinitxen_src2Finit.c
886,"e[n] = istrdup(environ[n]);
",0,aasysvinitxen_src2Finit.c
1746,"int		st;
",0,aasysvinitxen_src2Finit.c
410,"}
",0,aasysvinitxen_src2Finit.c
302,"break;
",0,aasysvinitxen_src2Finit.c
2367,"if (strcmp(ch->rlevel, ""S"") == 0)
",0,aasysvinitxen_src2Finit.c
1902,"{
",0,aasysvinitxen_src2Finit.c
206,"} flags[]={
",0,aasysvinitxen_src2Finit.c
259,"strcpy(btmp, WTMP_FILE);
",1,aasysvinitxen_src2Flast.c
265,"strcat(btmp, ""btmp"");
",1,aasysvinitxen_src2Flast.c
407,"strcpy(logintime, ctime(&tmp));
",1,aasysvinitxen_src2Flast.c
409,"sprintf(logouttime, ""- %s"", ctime(&t));
",1,aasysvinitxen_src2Flast.c
412,"sprintf(logouttime, ""- %s"", ctime(&t) + 11);
",1,aasysvinitxen_src2Flast.c
420,"sprintf(length, ""(%d+%02d:%02d)"", days, hours, mins);
",1,aasysvinitxen_src2Flast.c
422,"sprintf(length, "" (%02d:%02d)"", hours, mins);
",1,aasysvinitxen_src2Flast.c
426,"sprintf(logouttime, ""- crash"");
",1,aasysvinitxen_src2Flast.c
429,"sprintf(logouttime, ""- down "");
",1,aasysvinitxen_src2Flast.c
434,"sprintf(logouttime, ""  still logged in"");
",1,aasysvinitxen_src2Flast.c
436,"sprintf(logouttime, ""  still"");
",1,aasysvinitxen_src2Flast.c
437,"sprintf(length, ""logged in"");
",1,aasysvinitxen_src2Flast.c
443,"sprintf(logouttime, ""  gone - no logout"");
",1,aasysvinitxen_src2Flast.c
445,"sprintf(logouttime, ""   gone"");
",1,aasysvinitxen_src2Flast.c
446,"sprintf(length, ""- no logout"");
",1,aasysvinitxen_src2Flast.c
628,"strcpy(altufile, optarg);
",1,aasysvinitxen_src2Flast.c
807,"strcpy(ut.ut_line, ""system down"");
",1,aasysvinitxen_src2Flast.c
816,"strcpy(ut.ut_line,
",1,aasysvinitxen_src2Flast.c
823,"strcpy(ut.ut_line, ""system boot"");
",1,aasysvinitxen_src2Flast.c
831,"sprintf(ut.ut_line, ""(to lvl %c)"", x);
",1,aasysvinitxen_src2Flast.c
605,"progname = mybasename(argv[0]);
",0,aasysvinitxen_src2Flast.c
156,"}
",0,aasysvinitxen_src2Flast.c
111,"/*
",0,aasysvinitxen_src2Flast.c
672,"ufile = WTMP_FILE;
",0,aasysvinitxen_src2Flast.c
818,"""old time"");
",0,aasysvinitxen_src2Flast.c
90,"#if CHOP_DOMAIN
",0,aasysvinitxen_src2Flast.c
596,"struct stat st;	/* To stat the [uw]tmp file */
",0,aasysvinitxen_src2Flast.c
233,"if (fseeko(fp, -2 * sizeof(struct utmp), SEEK_CUR) < 0)
",0,aasysvinitxen_src2Flast.c
207,"else
",0,aasysvinitxen_src2Flast.c
781,"else {
",0,aasysvinitxen_src2Flast.c
474,"/*
",0,aasysvinitxen_src2Flast.c
85,"int oldfmt = 0;		/* Use old libc5 format? */
",0,aasysvinitxen_src2Flast.c
384,"strncat(utline, p->ut_line, UT_LINESIZE);
",0,aasysvinitxen_src2Flast.c
875,"if (ut.ut_pid > 0 &&
",0,aasysvinitxen_src2Flast.c
958,"// 445,4;445,11
",0,aasysvinitxen_src2Flast.c
148,"if (fseeko(fp, o, SEEK_SET) < 0) {
",0,aasysvinitxen_src2Flast.c
377,"int		mins, hours, days;
",0,aasysvinitxen_src2Flast.c
486,"domain_len, domain, logintime, logouttime, length);
",0,aasysvinitxen_src2Flast.c
913,"next = p->next;
",0,aasysvinitxen_src2Flast.c
810,"lastdown = lastrch = ut.ut_time;
",0,aasysvinitxen_src2Flast.c
115,"strcat(buf, ""/.."");
",1,aasysvinitxen_src2Fmountpoint.c
95,"if (quiet)
",0,aasysvinitxen_src2Fmountpoint.c
509,"strcpy(down_level, ""1"");
",1,aasysvinitxen_src2Fshutdown.c
593,"sprintf(term, ""/dev/%.*s"", UT_LINESIZE, ut->ut_line);
",1,aasysvinitxen_src2Fshutdown.c
639,"strcat(message, argv[c]);
",1,aasysvinitxen_src2Fshutdown.c
640,"strcat(message, "" "");
",1,aasysvinitxen_src2Fshutdown.c
642,"if (message[0]) strcat(message, ""\r\n"");
",1,aasysvinitxen_src2Fshutdown.c
682,"strcpy(newstate, ""for system halt"");
",1,aasysvinitxen_src2Fshutdown.c
685,"strcpy(newstate, ""for reboot"");
",1,aasysvinitxen_src2Fshutdown.c
688,"strcpy(newstate, ""to maintenance mode"");
",1,aasysvinitxen_src2Fshutdown.c
691,"sprintf(newstate, ""to runlevel %s"", down_level);
",1,aasysvinitxen_src2Fshutdown.c
724,"if (!strcmp(when, ""now"")) strcpy(when, ""0"");
",1,aasysvinitxen_src2Fshutdown.c
673,"if (doself && down_level[0] != '0' && down_level[0] != '6') {
",0,aasysvinitxen_src2Fshutdown.c
369,"/* This is an alternative way to disable accounting, saving a fork() */
",0,aasysvinitxen_src2Fshutdown.c
766,"// 509,1;509,7
",0,aasysvinitxen_src2Fshutdown.c
307,"#if 0
",0,aasysvinitxen_src2Fshutdown.c
528,"dontshut = 1;
",0,aasysvinitxen_src2Fshutdown.c
58,"#include ""initreq.h""
",0,aasysvinitxen_src2Fshutdown.c
318,"script = HALTSCRIPT1;
",0,aasysvinitxen_src2Fshutdown.c
768,"// 593,3;593,10
",0,aasysvinitxen_src2Fshutdown.c
361,"sleep(1); /* Give init the chance to collect zombies. */
",0,aasysvinitxen_src2Fshutdown.c
57,"#include ""reboot.h""
",0,aasysvinitxen_src2Fshutdown.c
310,"strcpy(pwd.pw_passwd, """");
",1,aasysvinitxen_src2Fsulogin.c
330,"strcpy(pwd.pw_passwd, """");
",1,aasysvinitxen_src2Fsulogin.c
334,"strcpy(pwd.pw_passwd, """"); }
",1,aasysvinitxen_src2Fsulogin.c
400,"char home[128];
",0,aasysvinitxen_src2Fsulogin.c
189,";
",0,aasysvinitxen_src2Fsulogin.c
532,"*	tty doesn't fall in this process group.
",0,aasysvinitxen_src2Fsulogin.c
85,"strcat(buf, argv[f]);
",1,aasysvinitxen_src2Fwall.c
86,"if (f < argc-1) strcat(buf, "" "");
",1,aasysvinitxen_src2Fwall.c
88,"strcat(buf, ""\r\n"");
",1,aasysvinitxen_src2Fwall.c
96,"strcpy(p, ""\r\n"");
",1,aasysvinitxen_src2Fwall.c
99,"strcat(buf, line);
",1,aasysvinitxen_src2Fwall.c
